drug,other,type
DB00952,P30939,DRUG_TARGETS
DB00952,P28221,DRUG_TARGETS
DB00952,P28222,DRUG_TARGETS
DB00952,P08908,DRUG_TARGETS
DB01410,P04150,DRUG_TARGETS
DB00950,P35367,DRUG_TARGETS
DB01099,P26358,DRUG_TARGETS
DB01099,P12461,DRUG_TARGETS
DB01097,P35869,DRUG_TARGETS
DB01097,Q14289,DRUG_TARGETS
DB01097,Q02127,DRUG_TARGETS
DB01091,Q14534,DRUG_TARGETS
DB06480,Q13639,DRUG_TARGETS
DB01259,P00533,DRUG_TARGETS
DB01259,P04626,DRUG_TARGETS
DB01256,Q9A1X4,DRUG_TARGETS
DB01254,P29317,DRUG_TARGETS
DB01254,P51692,DRUG_TARGETS
DB01254,P00519,DRUG_TARGETS
DB01254,P42684,DRUG_TARGETS
DB01254,P09619,DRUG_TARGETS
DB01254,P12931,DRUG_TARGETS
DB01254,P07947,DRUG_TARGETS
DB01254,P06239,DRUG_TARGETS
DB01254,P06241,DRUG_TARGETS
DB01254,P10721,DRUG_TARGETS
DB01077,Q13332,DRUG_TARGETS
DB01077,P38606,DRUG_TARGETS
DB01075,P35367,DRUG_TARGETS
DB01074,P23786,DRUG_TARGETS
DB01074,P50416,DRUG_TARGETS
DB01072,Q72874,DRUG_TARGETS
DB01176,P35367,DRUG_TARGETS
DB01176,P49888,DRUG_TARGETS
DB00672,Q09428,DRUG_TARGETS
DB01174,Q05586,DRUG_TARGETS
DB01174,Q13002,DRUG_TARGETS
DB01174,O15399,DRUG_TARGETS
DB01174,O60391,DRUG_TARGETS
DB01174,Q13224,DRUG_TARGETS
DB01174,Q12879,DRUG_TARGETS
DB01174,Q8TCU5,DRUG_TARGETS
DB01174,P14867,DRUG_TARGETS
DB01174,P36544,DRUG_TARGETS
DB01174,Q14957,DRUG_TARGETS
DB01174,P43681,DRUG_TARGETS
DB01174,P42262,DRUG_TARGETS
DB01173,Q05586,DRUG_TARGETS
DB01173,O15399,DRUG_TARGETS
DB01173,O60391,DRUG_TARGETS
DB01173,Q8TCU5,DRUG_TARGETS
DB01173,Q9Y5Y9,DRUG_TARGETS
DB01173,P35367,DRUG_TARGETS
DB01173,P23975,DRUG_TARGETS
DB01079,P28223,DRUG_TARGETS
DB01079,P28335,DRUG_TARGETS
DB01079,P41595,DRUG_TARGETS
DB01079,Q13639,DRUG_TARGETS
DB01171,P21397,DRUG_TARGETS
DB08604,P0AEK4,DRUG_TARGETS
DB08604,P0A5Y6,DRUG_TARGETS
DB08604,O24990,DRUG_TARGETS
DB08604,B0Q840,DRUG_TARGETS
DB08604,Q6GI75,DRUG_TARGETS
DB08167,Q8NMG3,DRUG_TARGETS
DB08167,P22303,DRUG_TARGETS
DB03575,Q8TCU5,DRUG_TARGETS
DB03575,Q99720,DRUG_TARGETS
DB00472,P31645,DRUG_TARGETS
DB00477,P19652,DRUG_TARGETS
DB00477,P18825,DRUG_TARGETS
DB00477,P02763,DRUG_TARGETS
DB00477,P28223,DRUG_TARGETS
DB00477,P35462,DRUG_TARGETS
DB00477,P11229,DRUG_TARGETS
DB00477,Q9H3N8,DRUG_TARGETS
DB00477,P34969,DRUG_TARGETS
DB00477,P35348,DRUG_TARGETS
DB00477,P21728,DRUG_TARGETS
DB00477,P08913,DRUG_TARGETS
DB00477,P14416,DRUG_TARGETS
DB00477,P28335,DRUG_TARGETS
DB00477,P18089,DRUG_TARGETS
DB00477,P21918,DRUG_TARGETS
DB00477,P41595,DRUG_TARGETS
DB00477,P35368,DRUG_TARGETS
DB00477,P35367,DRUG_TARGETS
DB00477,Q12809,DRUG_TARGETS
DB00477,P21917,DRUG_TARGETS
DB00477,P17405,DRUG_TARGETS
DB00477,P62158,DRUG_TARGETS
DB00477,P25100,DRUG_TARGETS
DB00477,P50406,DRUG_TARGETS
DB00477,P20309,DRUG_TARGETS
DB00477,P08908,DRUG_TARGETS
DB00478,P21430,DRUG_TARGETS
DB01001,P07550,DRUG_TARGETS
